metric;run;time_ms;peak_kb
keypair_generation;1;4.927600268274546;1.0595703125
keypair_generation;2;0.1834002323448658;0.3359375
keypair_generation;3;0.26560015976428986;0.328125
keypair_generation;4;0.11319993063807487;0.3203125
keypair_generation;5;0.11970009654760361;0.3046875
keypair_generation;6;0.10150019079446793;0.296875
keypair_generation;7;0.12689968571066856;0.2890625
keypair_generation;8;0.09520025923848152;0.28125
keypair_generation;9;0.11650007218122482;0.2734375
keypair_generation;10;0.08659996092319489;0.265625
keypair_generation;11;0.0804997980594635;0.2578125
keypair_generation;12;0.09159976616501808;0.25
keypair_generation;13;0.08689984679222107;0.236328125
keypair_generation;14;0.08099991828203201;0.236328125
keypair_generation;15;0.08139992132782936;0.236328125
keypair_generation;16;0.10150019079446793;0.236328125
keypair_generation;17;0.08410029113292694;0.236328125
keypair_generation;18;0.10730000212788582;0.236328125
keypair_generation;19;0.13139983639121056;0.236328125
keypair_generation;20;0.09729992598295212;0.236328125
shared_secret_derivation;1;0.602399930357933;0.5849609375
shared_secret_derivation;2;0.13780035078525543;0.3603515625
shared_secret_derivation;3;0.12869993224740028;0.3525390625
shared_secret_derivation;4;0.12899981811642647;0.3447265625
shared_secret_derivation;5;0.14510005712509155;0.3369140625
shared_secret_derivation;6;0.12490013614296913;0.3291015625
shared_secret_derivation;7;0.12390036135911942;0.3212890625
shared_secret_derivation;8;0.12199999764561653;0.3056640625
shared_secret_derivation;9;0.12309988960623741;0.2978515625
shared_secret_derivation;10;0.12429989874362946;0.2900390625
shared_secret_derivation;11;0.121300108730793;0.2822265625
shared_secret_derivation;12;0.12189988046884537;0.2744140625
shared_secret_derivation;13;0.12379977852106094;0.2666015625
shared_secret_derivation;14;0.12010009959340096;0.2587890625
shared_secret_derivation;15;0.11949986219406128;0.2509765625
shared_secret_derivation;16;0.12329965829849243;0.236328125
shared_secret_derivation;17;0.1362999901175499;0.236328125
shared_secret_derivation;18;0.12800004333257675;0.236328125
shared_secret_derivation;19;0.12720003724098206;0.236328125
shared_secret_derivation;20;0.18319999799132347;0.236328125
